Id,簡体字,繁体字,ピンイン,意味,別解：簡体字,別解：繁体字,別解：ピンイン,出典元,レベル,Created at,Updated at
1,一心一意,一心一意,yī xīn yī yì,ひたすらに、わき目もふらず, - , - , - ,jujuyouyisi,1,2023/12/03 17:03,2023/12/03 17:17
2,一五一十,一五一十,yī wǔ yī shí,一部始終、細大漏らさずに, - , - , - ,jujuyouyisi,1,2023/12/03 17:04,2023/12/03 17:04
3,一毛不拔,一毛不拔,yī máo bù bá,極端にけちである、物惜しみが甚だしい, - , - , - ,jujuyouyisi,1,2023/12/03 17:07,2023/12/03 17:07
4,一干二净,一乾二淨,yī gān èr jìng,きれいさっぱり、徹底的に、すっかり, - , - , - ,jujuyouyisi,1,2023/12/03 17:10,2023/12/03 17:10
5,一清二楚,一清二楚,yī qīng èr chǔ,"明白な、はっきりわかる；きれいさっぱり、音が筒抜けだ
(話や説明が明確であることに使われることが多い)", - , - , - ,jujuyouyisi,1,2023/12/03 17:16,2023/12/03 17:16
6,一网打尽,一網打盡,yī wǎng dǎ jìn,一度に一味やその仲間を全部捕らえること, - , - , - ,jujuyouyisi,1,2023/12/03 17:19,2023/12/05 11:56
7,一模一样,一模一樣,yī mó yī yàng,そっくりだ、瓜二つだ, - , - , - ,jujuyouyisi,1,2023/12/03 17:21,2023/12/03 17:21
8,一举一动,一舉一動,yī jǔ yī dòng,細かいいちいちそれぞれの動作、ちょっとした振る舞い, - , - , - ,jujuyouyisi,1,2023/12/03 17:24,2023/12/03 17:24
9,七上八下,七上八下,qī shàng bā xià,不安で居ても立っても居られないこと、とても落ち着かないこと, - , - , - ,jujuyouyisi,1,2023/12/03 17:26,2023/12/03 17:26
10,七手八脚,七手八脚,qī shǒu bā jiǎo,多くの人々が一斉に働いたり行動を起こしている様子、よってたかって…する, - , - , - ,jujuyouyisi,1,2023/12/03 17:29,2023/12/03 17:29
11,九牛二虎,九牛二虎,jiǔ niú èr hǔ,"最大限の力で、あらん限りの力で
※多くの場合「…之力」とされる", - , - , - ,jujuyouyisi,1,2023/12/03 17:34,2023/12/03 17:34
12,人山人海,人山人海,rén shān rén hǎi,人で溢れかえっている様子、大勢の人で混雑している様子, - , - , - ,jujuyouyisi,1,2023/12/03 17:36,2023/12/03 17:36
13,人来人往,人來人往,rén lái rén wǎng,人の出入りや行き交いが激しいこと, - , - , - ,jujuyouyisi,1,2023/12/03 17:38,2023/12/03 17:38
14,人间天堂,人間天堂,rén jiān tiān táng,この世の天国、地球上にある楽園, - , - , - ,jujuyouyisi,1,2023/12/03 17:41,2023/12/03 17:41
15,力争上游,力爭上游,lì zhēng shàng yóu,向上心を持って奮起すること、高い目標のために必死に努力すること, - , - , - ,jujuyouyisi,1,2023/12/03 17:44,2023/12/03 17:44
16,十万火急,十萬火急,shí wàn huǒ jí,非常に急いでいること、大至急, - , - , - ,jujuyouyisi,1,2023/12/03 17:46,2023/12/03 17:46
17,三五成群,三五成群,sān wǔ chéng qún,小さなグループが群れを成している様子, - , - , - ,jujuyouyisi,1,2023/12/03 17:53,2023/12/03 17:53
18,三言两语,三言兩語,sān yán liǎng yǔ,"わずかな言葉で、少しの話で
「少し話しただけで理解してもらえる」「少し話しただけでは理解してもらえない」どちらの用法も取れる", - , - , - ,jujuyouyisi,1,2023/12/03 18:02,2023/12/03 18:02
19,千千万万,千千萬萬,qiān qiān wàn wàn,無数の、大量の, - , - , - ,jujuyouyisi,1,2023/12/03 18:06,2023/12/03 18:06
20,千辛万苦,千辛萬苦,qiān xīn wàn kǔ,あらゆる苦労をすること、多くの辛酸を嘗めること, - , - , - ,jujuyouyisi,1,2023/12/03 18:07,2023/12/03 18:07
21,千奇百怪,千奇百怪,qiān qí bǎi guài,極めて不思議なこと,千奇万怪,千奇万怪,qiān qí wàn guài,jujuyouyisi,1,2023/12/03 18:09,2023/12/05 11:54
22,千真万真,千真萬真,qiān zhēn wàn zhēn,(情報などが)極めて確実だ、絶対間違いない, - , - , - ,jujuyouyisi,1,2023/12/03 18:11,2023/12/03 18:11
23,千变万化,千變萬化,qiān biàn wàn huà,目まぐるしく変化をすること、局面や状況が常に一定ではないこと, - , - , - ,jujuyouyisi,1,2023/12/03 18:13,2023/12/03 18:13
24,大功告成,大功告成,dà gōng gào chéng,大きな事業や工事、任務などが達成されること, - , - , - ,jujuyouyisi,1,2023/12/03 18:15,2023/12/03 18:15
25,大吃一惊,大吃一驚,dà chī yī jīng,非常に驚くこと、びっくり仰天なさま, - , - , - ,jujuyouyisi,1,2023/12/03 18:16,2023/12/03 18:16
26,大街小巷,大街小巷,dà jiē xiǎo xiàng,町中の至るところに, - , - , - ,jujuyouyisi,1,2023/12/03 18:17,2023/12/03 18:17
27,山明水秀,山明水秀,shān míng shuǐ xiù,とても自然の光景が清らかで美しいさま, - , - , - ,jujuyouyisi,1,2023/12/03 18:19,2023/12/03 18:20
28,山珍海味,山珍海味,shān zhēn hǎi wèi,珍しい海の幸や山の幸。珍しい食べ物がたくさんあること, - , - , - ,jujuyouyisi,1,2023/12/03 18:49,2023/12/03 18:49
29,不可思议,不可思議,bù kě sī yì,"人間には想像が及ばないこと；あやしいこと、異様なこと
※元は仏教用語で「人が思いはかったり、言語で表現できないこと」", - , - , - ,jujuyouyisi,1,2023/12/03 19:31,2023/12/05 11:55
30,不亦乐乎,不亦樂乎,bù yì lè hū,すごく、非常に、甚だしく, - , - , - ,jujuyouyisi,1,2023/12/03 19:50,2023/12/03 19:50
31,不知所措,不知所措,bù zhī suǒ cuò,どうしたらいいかわからない、慌てふためく, - , - , - ,jujuyouyisi,1,2023/12/03 19:59,2023/12/03 19:59
32,不慌不忙,不慌不忙,bù huāng bù máng,急がず慌てないさま, - , - , - ,jujuyouyisi,1,2023/12/03 20:02,2023/12/03 20:02
33,不欢而散,不歡而散,bù huān ér sàn,気まずい思いをしたまま別れる、喧嘩別れをする, - , - , - ,jujuyouyisi,1,2023/12/03 20:04,2023/12/03 20:04
34,五花八门,五花八門,wǔ huā bā mén,多種多様である、バラエティに富んでいる、色々だ, - , - , - ,jujuyouyisi,1,2023/12/03 20:06,2023/12/03 20:06
35,五彩缤纷,五彩繽紛,wǔ cǎi bīn fēn,色とりどりだ、カラフルである,五颜六色,五顏六色,wǔ yán liù sè,jujuyouyisi,1,2023/12/03 20:08,2023/12/05 12:02
36,五颜六色,五顏六色,wǔ yán liù sè,色とりどりだ、カラフルである,五彩缤纷,五彩繽紛,wǔ cǎi bīn fēn,jujuyouyisi,1,2023/12/03 20:10,2023/12/05 12:01
37,公而忘私,公而忘私,gōng ér wàng sī,私事を考えずに公益のために身を尽くすこと, - , - , - ,jujuyouyisi,1,2023/12/03 20:15,2023/12/03 20:15
38,天昏地暗,天昏地暗,tiān hūn dì àn,政治が腐敗し原因で社会的に混乱していること；頭が混乱して理解が追いつかないこと；周囲が真っ暗なこと, - , - , - ,jujuyouyisi,1,2023/12/03 20:18,2023/12/03 20:18
39,少见多怪,少見多怪,shǎo jiàn duō guài,"世間知らず、世事に疎いこと
※知識の無い者は何を見ても珍しがる、人を馬鹿にした表現", - , - , - ,jujuyouyisi,1,2023/12/03 20:21,2023/12/05 11:55
40,心平气和,心平氣和,xīn píng qì hé,心が穏やかだ、心が平静である, - , - , - ,jujuyouyisi,1,2023/12/04 02:34,2023/12/04 02:34
41,心服口服,心服口服,xīn fú kǒu fú,敬服する、心から認める, - , - , - ,jujuyouyisi,1,2023/12/04 02:37,2023/12/04 02:37
42,心花怒放,心花怒放,xīn huā nù fàng,嬉しくてたまらない、喜びに満ち溢れているさま, - , - , - ,jujuyouyisi,1,2023/12/04 02:38,2023/12/04 02:38
43,心事重重,心事重重,xīn shì chóng chóng,心配事や悩みが積み重なっていること, - , - , - ,jujuyouyisi,1,2023/12/04 02:41,2023/12/04 02:41
44,心想事成,心想事成,xīn xiǎng shì chéng,心で願っていたことが成就すること, - , - , - ,jujuyouyisi,1,2023/12/04 02:43,2023/12/04 02:43
45,心满意足,心滿意足,xīn mǎn yì zú,何一つ不満がないこと、とても満足していること, - , - , - ,jujuyouyisi,1,2023/12/04 02:44,2023/12/04 02:44
46,手足情深,手足情深,shǒu zú qíng shēn,"兄弟姉妹の関係がとても親密であること
※多くは兄弟姉妹についてだが、友人関係でも用いることがある", - , - , - ,jujuyouyisi,1,2023/12/04 02:49,2023/12/05 11:55
47,手舞足蹈,手舞足蹈,zú dào shǒu wǔ,踊りあがって喜ぶさま,足蹈手舞,足蹈手舞,shǒu wǔ zú dào,jujuyouyisi,1,2023/12/04 02:55,2023/12/05 11:54
48,斤斤计较,斤斤計較,jīn jīn jì jiào,小さなことにけちなこと、細かいことにとやかく言うこと, - , - , - ,jujuyouyisi,1,2023/12/04 03:05,2023/12/04 03:05
49,日上三竿,日上三竿,rì shàng sān gān,"日が既に高く登っていること
※通例、朝寝坊をしたときに使われる", - , - , - ,jujuyouyisi,1,2023/12/04 03:07,2023/12/05 11:55
50,世外桃源,世外桃源,shì wài táo yuán,この世から隔離された楽園、桃源郷、理想郷, - , - , - ,jujuyouyisi,1,2023/12/04 03:08,2023/12/04 03:08
51,以身作则,以身作則,yǐ shēn zuò zé,自らが手本を示すこと, - , - , - ,jujuyouyisi,1,2023/12/04 03:09,2023/12/04 03:09
52,出其不意,出其不意,chū qí bù yì,意表を突く、相手の隙をついて行動する, - , - , - ,jujuyouyisi,1,2023/12/04 03:12,2023/12/04 03:12
53,半信半疑,半信半疑,bàn xìn bàn yí,半分信じて半分疑っていること, - , - , - ,jujuyouyisi,1,2023/12/04 03:15,2023/12/04 03:15
54,将信将疑,將信將疑,jiāng xìn jiāng yí,信じられそうでもあるし、疑わしくもあること, - , - , - ,jujuyouyisi,1,2023/12/04 03:19,2023/12/04 03:19
55,古色古香,古色古香,gǔ sè gǔ xiāng,芸術品や建築物が古くなり、独特の風格を漂わせていること, - , - , - ,jujuyouyisi,1,2023/12/04 03:21,2023/12/04 03:21
56,四面八方,四面八方,sì miàn bā fāng,全ての方角、周囲一帯,四方八面,四方八面,sì fāng bā miàn,jujuyouyisi,1,2023/12/04 03:24,2023/12/05 11:53
57,四通八达,四通八達,sì tōng bā dá,交通網が発達して非常に便利なこと、交通の便が非常にいいこと；人の往来が多くにぎやかなこと,八达四通,八達四通,bā dá sì tōng,jujuyouyisi,1,2023/12/04 03:24,2023/12/05 11:52
58,左邻右舍,左鄰右舍,zuǒ lín yòu shè,隣近所, - , - , - ,jujuyouyisi,1,2023/12/04 03:31,2023/12/04 03:31
59,左顾右盼,左顧右盼,zuǒ gù yòu pàn,辺りをきょろきょろする；得意げになって辺りを見回す,右盼左顾,右盼左顧,yòu pàn zuǒ gù,jujuyouyisi,1,2023/12/04 03:32,2023/12/05 11:53
60,平心静气,平心靜氣,píng xīn jìng qì,気持ちが落ち着いているさま、冷静であるさま,静气平心,靜氣平心,jìng qì píng xīn,jujuyouyisi,1,2023/12/04 03:38,2023/12/05 11:52
61,平易近人,平易近人,píng yì jìn rén,(人が)穏やかで親しみやすい性格で近づきやすい；(文章が)平易で理解しやすい, - , - , - ,jujuyouyisi,1,2023/12/04 03:41,2023/12/04 03:41
62,石沉大海,石填大海,shí tián dà hǎi,何の音沙汰もない、反応がない, - , - , - ,jujuyouyisi,1,2023/12/04 03:46,2023/12/04 03:46
63,全心全意,全心全意,quán xīn quán yì,真心から、真心があって真面目なこと,诚心诚意,誠心誠意,chéng xīn chéng yì,jujuyouyisi,1,2023/12/04 15:47,2023/12/09 02:49
64,诚心诚意,誠心誠意,chéng xīn chéng yì,真心から、真心があって真面目なこと,全心全意,全心全意,quán xīn quán yì,jujuyouyisi,1,2023/12/04 15:47,2023/12/05 12:00
65,冰天雪地,冰天雪地,bīng tiān xuě dì,一面を氷雪に閉ざされ非常に寒い状態であること, - , - , - ,jujuyouyisi,1,2023/12/04 15:51,2023/12/04 15:51
66,合作无间,合作無間,hé zuò wú jiàn,人々が一緒の目標に対しよく協力すること, - , - , - ,jujuyouyisi,1,2023/12/04 15:54,2023/12/04 15:54
67,因小失大,因小失大,yīn xiǎo shī dà,小さな利益のために、大きな損失を抱えてしまうこと,貪小失大,贪小失大,tān xiǎo shī dà,jujuyouyisi,1,2023/12/04 15:55,2023/12/05 11:58
68,多才多艺,多才多藝,duō cái duō yì,多くの方面で才能や技術を持っていること, - , - , - ,jujuyouyisi,1,2023/12/04 15:57,2023/12/04 15:57
69,多彩多姿,多采多姿,duō cǎi duō zī,"非常に様々で美しい、変化に富んで彩られた
※多種多様さと同時に美しさにも言及される",多姿多彩,多姿多采,duō zī duō cǎi,jujuyouyisi,1,2023/12/04 16:01,2023/12/05 11:51
70,年轻力壮,年輕力壯,nián qīng lì zhuàng,年齢が若くてたくましい様子, - , - , - ,jujuyouyisi,1,2023/12/04 16:07,2023/12/04 16:07
71,成千上万,成千上萬,chéng qiān shàng wàn,非常に数の多いさま、おびただしい数の,成千成万,成千成萬,chéng qiān chéng wàn,jujuyouyisi,1,2023/12/04 16:09,2023/12/05 11:57
72,有说有笑,有說有笑,yǒu shuō yǒu xiào,にぎやかに楽しく談笑をする, - , - , - ,jujuyouyisi,1,2023/12/04 16:10,2023/12/04 16:10
73,有声有色,有聲有色,yǒu shēng yǒu sè,論調や演技、説明、文字などが生き生きとしている、精彩を放っている,有色有声,有色有聲,yǒu sè yǒu shēng,jujuyouyisi,1,2023/12/04 16:14,2023/12/05 11:50
74,死里逃生,死裡逃生,sǐ lǐ táo shēng,命からがら逃げ出す、九死に一生を得る, - , - , - ,jujuyouyisi,1,2023/12/04 16:17,2023/12/04 16:17
75,汗如雨下,汗如雨下,hàn rú yǔ xià,滝のように汗が流れているさま, - , - , - ,jujuyouyisi,1,2023/12/04 16:20,2023/12/04 16:20
