Id,簡体字,繁体字,ピンイン,意味,別解：簡体字,別解：繁体字,別解：ピンイン,出典元,レベル,Created at,Updated at
76,百发百中,百發百中,bǎi zhòng bǎi fā,弓矢や射撃の腕前がすさまじくよいこと。転じて計画や見通しが全て的中すること,百中百发,百中百發,bǎi fā bǎi zhòng,jujuyouyisi,1,2023/12/04 16:24,2023/12/05 11:50
77,竹报平安,竹報平安,zhú bào píng ān,元々は家族からの無事を知らせる手紙のこと。春联(春節の縁起物)に用いられる, - , - , - ,jujuyouyisi,1,2023/12/04 16:31,2023/12/04 16:31
78,自由自在,自由自在,zì yóu zì zài,何者にもとらわれず自分が思う通りにできるさま, - , - , - ,jujuyouyisi,1,2023/12/04 16:32,2023/12/04 16:32
79,自言自语,自言自語,zì yán zì yǔ,独り言を言う, - , - , - ,jujuyouyisi,1,2023/12/04 16:33,2023/12/04 16:33
80,低声下气,低聲下氣,dī shēng xià qì,恭順な、へりくだった行動を取ること。多くの場合、強い者に対してびくびくした、へつらう態度を取ること, - , - , - ,jujuyouyisi,1,2023/12/04 16:41,2023/12/04 16:41
81,呑呑吐吐,吞吞吐吐,tūn tūn tǔ tǔ,しどろもどろになる、要領を得ない；奥歯に物が挟まったような言い方をする, - , - , - ,jujuyouyisi,1,2023/12/04 16:43,2023/12/05 11:55
82,形影不离,形影不離,xíng yǐng bù lí,関係が密接であること、いつもそばにいるような関係であること, - , - , - ,jujuyouyisi,1,2023/12/04 16:45,2023/12/04 16:45
83,忍无可忍,忍無可忍,rěn wú kě rěn,これ以上我慢ができない、堪忍袋の緒が切れる, - , - , - ,jujuyouyisi,1,2023/12/04 16:47,2023/12/04 16:47
84,狂风暴雨,狂風暴雨,kuáng fēng bào yǔ,暴風雨。転じて激動の状態、状況であること,狂风骤雨・驟雨狂風,狂風驟雨・驟雨狂風,kuáng fēng zhòu yǔ,jujuyouyisi,1,2023/12/09 00:11,2023/12/10 00:40
85,身体力行,身體力行,shēn tǐ lì xíng,口先だけでなく自らが行動して手本を示すこと, - , - , - ,jujuyouyisi,1,2023/12/09 00:12,2023/12/09 00:12
86,供不应求,供不應求,gōng bù yìng qiú,供給が需要に追いつかないこと, - , - , - ,jujuyouyisi,1,2023/12/09 00:14,2023/12/09 00:14
87,刻苦耐劳,刻苦耐勞,kè kǔ nài láo,非常に過酷な労働環境で努力して仕事をすること, - , - , - ,jujuyouyisi,1,2023/12/09 00:16,2023/12/09 00:16
88,和蔼可亲,和藹可親,hé ǎi kě qīn,和やかで優しく親しみやすい, - , - , - ,jujuyouyisi,1,2023/12/09 00:18,2023/12/09 00:18
89,始终如一,始終如一,shǐ zhōng rú yī,終始一貫して物事に対する態度が変わらないこと, - , - , - ,jujuyouyisi,1,2023/12/09 00:20,2023/12/09 00:20
90,居安思危,居安思危,jū ān sī wéi,気の休まるときでも災難や危険に対して想定しておくこと、常に危機管理を忘れないこと, - , - , - ,jujuyouyisi,1,2023/12/09 00:22,2023/12/09 00:22
91,幸灾乐祸,幸災樂禍,xìng zāi lè huò,"他人が災難や不幸にあうのを見て喜んだり、楽しんだりすること
※「人の不幸は蜜の味」に近い意味合い", - , - , - ,jujuyouyisi,1,2023/12/09 00:25,2023/12/09 00:25
92,拔刀相助,拔刀相助,bá dāo xiāng zhù,(多くの場合不正や悪い事に対して)一肌脱ぐこと、助太刀に入ること, - , - , - ,jujuyouyisi,1,2023/12/09 00:28,2023/12/09 00:28
93,抬头挺胸,抬頭挺胸,tái tóu tǐng xiōng,背筋を伸ばし胸を張る様子。転じて気力が奮い表情が生き生きとしている様子, - , - , - ,jujuyouyisi,1,2023/12/09 00:33,2023/12/09 00:33
94,东倒西歪,東倒西歪,dōng dǎo xī wāi,ふらふらで倒れそうな様子、よろめく様子, - , - , - ,jujuyouyisi,1,2023/12/09 00:36,2023/12/09 00:36
95,欣喜若狂,欣喜若狂,xīn xǐ ruò kuáng,狂ったように喜ぶこと, - , - , - ,jujuyouyisi,1,2023/12/09 00:37,2023/12/09 00:37
96,前因后果,前因後果,qián yīn hòu guǒ,ある事柄の原因と結果。転じて、事の一部始終を示す。, - , - , - ,jujuyouyisi,1,2023/12/09 00:40,2023/12/09 00:40
97,勇往直前,勇往直前,yǒng wǎng zhí qián,目標や目的などに対しひたすらに突き進むこと, - , - , - ,jujuyouyisi,1,2023/12/09 02:01,2023/12/09 02:01
98,品学兼优,品學兼優,pǐn xué jiān yōu,品行も学業もすばらしいこと。多く学生への褒め言葉として用いられる,学品兼优,學品兼優,xué pǐn jiān yōu,jujuyouyisi,1,2023/12/09 02:04,2023/12/09 02:04
99,度日如年,度日如年,dù rì rú nián,"時間がすぎるのがとても長く感じられること
※生活が苦しかったり、つらい状態であったりなど、苦行のイメージを伴うことが多い", - , - , - ,jujuyouyisi,1,2023/12/09 02:08,2023/12/09 02:08
100,美中不足,美中不足,měi zhōng bù zú,美しい、素晴らしい物にわずかながら欠点があること、玉に瑕(きず), - , - , - ,jujuyouyisi,1,2023/12/09 02:10,2023/12/09 02:10
101,面目全非,面目全非,miàn mù quán fēi,変わり果てる、全く違うものに変化する、見る影もない, - , - , - ,jujuyouyisi,1,2023/12/09 02:12,2023/12/09 02:12
102,风吹草动,風吹草動,fēng chuī cǎo dòng,わずかな異変、ちょっとした変化, - , - , - ,jujuyouyisi,1,2023/12/09 02:15,2023/12/09 02:15
103,家家户户,家家戶戶,jiā jiā hù hù,家々、軒並み、各家庭, - , - , - ,jujuyouyisi,1,2023/12/09 02:17,2023/12/09 02:17
104,时时刻刻,時時刻刻,shí shí kè kè,いつも、片時も、絶えず, - , - , - ,jujuyouyisi,1,2023/12/09 02:19,2023/12/09 02:19
105,国泰民安,國泰民安,guó tài mín ān,国家が安泰で、国民が平穏に暮らしていること,民安国泰,民安國泰,mín ān guó tài,jujuyouyisi,1,2023/12/09 02:21,2023/12/09 02:21
106,张灯结彩,張燈結綵,zhāng dēng jié cǎi,"色とりどりの提灯や色絹で町中が飾られること
※特に元宵節などの祭りの光景として形容される", - , - , - ,jujuyouyisi,1,2023/12/09 02:26,2023/12/09 02:26
107,从容不迫,從容不迫,cōng róng bù pò,慌てず落ち着いている、冷静で余裕がある, - , - , - ,jujuyouyisi,1,2023/12/09 02:28,2023/12/09 02:28
108,得意洋洋,得意揚揚,dé yì yáng yáng,得意げである、鼻高々だ,洋洋得意,得意洋洋・揚揚得意・洋洋得意,yáng yáng dé yì,jujuyouyisi,1,2023/12/09 02:33,2023/12/10 00:40
109,深入浅出,深入淺出,shēn rù qiǎn chū,平易な言葉で、深い内容を表現すること,深入显出,深入顯出,shēn rù xiǎn chū,jujuyouyisi,1,2023/12/09 02:36,2023/12/09 02:36
110,泪如泉涌,淚如泉湧,lèi rú quán yǒng,号泣する、止めどなく涙が溢れる,泪如涌泉,淚如湧泉,lèi rú yǒng quán,jujuyouyisi,1,2023/12/09 02:39,2023/12/09 02:48
111,现身说法,現身說法,xiàn shēn shuō fǎ,自らの経験をもって、人々を教え導くこと, - , - , - ,jujuyouyisi,1,2023/12/09 02:40,2023/12/09 02:40
112,眼明手快,眼明手快,yǎn míng shǒu kuài,よく目が利き、動作もすばしっこいこと,眼明手捷,眼明手捷,yǎn míng shǒu jié,jujuyouyisi,1,2023/12/09 02:44,2023/12/09 02:48
113,闭门思过,閉門思過,bì mén sī guò,家などにこもって独りで自らの失敗を深く反省すること,闭阁思过,閉閣思過,bì gé sī guò,jujuyouyisi,1,2023/12/09 02:47,2023/12/09 02:47
114,挥汗成雨,揮汗成雨,huī hàn chéng yǔ,汗だくであること。転じて、人が多くひしめいていること,挥汗如雨,揮汗如雨,huī hàn rú yǔ,jujuyouyisi,1,2023/12/09 16:27,2023/12/09 16:27
115,无中生有,無中生有,wú zhōng shēng yǒu,事実ではないことをでっちあげる、捏造する, - , - , - ,jujuyouyisi,1,2023/12/09 16:28,2023/12/09 16:28
116,无精打采,無精打采,wú jīng dǎ cǎi,元気がなく打ちひしがれている様子、意気消沈している様子,沒精打采,沒精打采・沒精打彩,méi jīng dǎ cǎi,jujuyouyisi,1,2023/12/09 16:34,2023/12/10 00:40
117,沒精打采,沒精打采,méi jīng dǎ cǎi,元気がなく打ちひしがれている様子、意気消沈している様子,无精打采,沒精打彩・無精打采,wú jīng dǎ cǎi,jujuyouyisi,1,2023/12/09 16:34,2023/12/10 00:39
118,无忧无虑,無憂無慮,wú yōu wú lǜ,何の心配も無い,无虑无忧,無慮無憂,wú lǜ wú yōu,jujuyouyisi,1,2023/12/09 16:37,2023/12/09 16:37
119,我边无际,無邊無際,wú biān wú jì,"際限がない、果てしない
※海や草原、空、宇宙などの広大な風景の他、波など際限なく繰り返されるものにも用いられる", - , - , - ,jujuyouyisi,1,2023/12/09 16:41,2023/12/09 16:41
120,窗明几净,窗明几淨,chuāng míng jī jìng,部屋がとても清潔できれいなさま。部屋が明るく気持ちのいいさま。, - , - , - ,jujuyouyisi,1,2023/12/09 16:44,2023/12/09 16:44
121,街头巷尾,街頭巷尾,jiē tóu xiàng wěi,街のあちこちに,街头市尾・巷头街尾・大街小巷,街頭市尾・巷尾街頭・大街小巷,dà jiē xiǎo xiàng,jujuyouyisi,1,2023/12/09 16:48,2023/12/10 00:39
122,乱七八糟,亂七八糟,luàn qī bā zāo,ごちゃごちゃしている、めちゃくちゃである；気持ちや考えが混乱する, - , - , - ,jujuyouyisi,1,2023/12/09 16:53,2023/12/10 00:13
123,乌七八糟,烏七八糟,wū qī bā zāo,ひどく汚い、いかがわしい、不道徳だ；ごちゃごちゃしている、めちゃくちゃだ,污七八糟,污七八糟,wū qī bā zāo,jujuyouyisi,1,2023/12/09 16:56,2023/12/09 16:56
124,倾盆大雨,傾盆大雨,qīng pén dà yǔ,"土砂降りの雨、豪雨を形容することば。
※突発的な、スコール的な急雨を指すことが多い", - , - , - ,jujuyouyisi,1,2023/12/09 16:58,2023/12/09 16:58
125,愁眉苦脸,愁眉苦臉,chóu méi kǔ liǎn,沈んだ顔をする、浮かぬ顔をする、心配そうな顔をする,愁眉不展・泪眼愁眉,愁眉不展・愁眉淚眼,"chóu méi bù zhǎn,chóu méi lèi yǎn",jujuyouyisi,1,2023/12/09 22:25,2023/12/10 00:38
126,滔滔不绝,滔滔不絕,tāo tāo bù jué,"絶え間なく流れること。転じて、ぺらぺらと喋り続けること
※司会者や弁論家などを形容するときに用いられる", - , - , - ,jujuyouyisi,1,2023/12/09 22:29,2023/12/09 22:29
127,万众一心,萬眾一心,wàn zhòng yī xīn,国民や軍隊、クラスメイトなど、多くの人々の集団が一丸となること, - , - , - ,jujuyouyisi,1,2023/12/09 22:32,2023/12/09 22:32
128,万紫千红,萬紫千紅,wàn zǐ qiān hóng,(花壇や花畑などで)花が咲き乱れること。転じて人物や文化が隆盛を極めること。, - , - , - ,jujuyouyisi,1,2023/12/09 22:36,2023/12/09 22:36
129,游手好闲,游手好閒,yóu shǒu hào xián,正業に就かず遊び呆けること, - ,遊手好閒,yóu shǒu hào xián,jujuyouyisi,1,2023/12/09 22:40,2023/12/09 22:40
130,实话实说,實話實說,shí huà shí shuō,率直に言うと、ありのままを言うと、正直に言うと, - , - , - ,jujuyouyisi,1,2023/12/09 22:43,2023/12/09 22:43
131,聚精會神,聚精會神,jù jīng huì shén,精神を集中して、一心不乱に, - , - , - ,jujuyouyisi,1,2023/12/09 23:09,2023/12/09 23:09
132,增广见识,增廣見聞,zēng guǎng jiàn wén,知識がつくこと, - , - , - ,jujuyouyisi,1,2023/12/09 23:12,2023/12/09 23:12
133,废物利用,廢物利用,fèi wù lì yòng,捨てられるものに改良を加えて使えるようにする、リサイクルする, - , - , - ,jujuyouyisi,1,2023/12/09 23:15,2023/12/09 23:15
134,数一数二,數一數二,shǔ yī shǔ èr,一二を争う、指折りの、トップクラスの, - , - , - ,jujuyouyisi,1,2023/12/09 23:17,2023/12/09 23:17
135,谈天说地,談天說地,tán tiān shuō dì,知識が豊富な、話題に事欠かない人を形容したことば。転じて、世間話をする、延々とおしゃべりをすること,谈天论地・谭天说地・说地谈天,談天論地・譚天說地・說地談天,tán tiān lùn dì,jujuyouyisi,1,2023/12/09 23:22,2023/12/10 00:38
136,横冲直撞,橫衝直撞,héng chōng zhí zhuàng,めちゃくちゃに走り回る、縦横無尽に突き進む,横行直撞,橫行直撞,héng xíng zhí zhuàng,jujuyouyisi,1,2023/12/09 23:29,2023/12/09 23:29
137,举世闻名,舉世聞名,jǔ shì wén míng,世界中の人々が知っている、その名が轟いている, - , - , - ,jujuyouyisi,1,2023/12/09 23:32,2023/12/09 23:32
138,应有尽有,應有盡有,yīng yǒu jìn yǒu,"必要なものが何でも揃っていること、
※店舗や市場のように商品だけでなく、百科事典のような記載内容などにも使える", - , - , - ,jujuyouyisi,1,2023/12/09 23:39,2023/12/09 23:39
139,点点滴滴,點點滴滴,diǎn dian dī dī,"小さなもの１つずつ
※記憶や思い出、経験など、小さいけれど大切、重要なものによく用いられる", - , - , - ,jujuyouyisi,1,2023/12/09 23:42,2023/12/09 23:42
140,变化无常,變化無常,biàn huà wú cháng,目まぐるしく変化すること, - , - , - ,jujuyouyisi,1,2023/12/09 23:44,2023/12/09 23:44
141,一箭双雕,一箭雙雕,yī jiàn shuāng diāo,１つの行動で２つの成果を得ること,一石二鸟・一举两得・事半功倍,一箭雙鵰・一石二鳥・一舉兩得・事半功倍, - ,jujuyouyisi,1,2023/12/09 23:55,2023/12/10 00:38
142,一钱不值,一錢不值,yī qián bù zhí,全く値打ちが無いこと, - , - , - ,jujuyouyisi,1,2023/12/09 23:57,2023/12/09 23:57
143,口若悬河,口若懸河,kǒu ruò xuán hé,よくしゃべるさま、立て板に水のように話すさま, - , - , - ,jujuyouyisi,1,2023/12/09 23:59,2023/12/09 23:59
144,名不虚传,名不虛傳,míng bù xū chuán,その名に恥じない、評判に違わない, - , - , - ,jujuyouyisi,1,2023/12/10 00:01,2023/12/10 00:01
145,盲人摸象,盲人摸象,máng rén mō xiàng,物事や人物の一部、ないしは一面だけを理解して、すべて理解したと錯覚してしまうこと, - , - , - ,jujuyouyisi,1,2023/12/10 00:03,2023/12/10 00:03
146,卷土重来,捲土重來,juǎn tǔ chóng lái,一度失敗した者が再び勢力を盛り返すこと, - , - , - ,jujuyouyisi,1,2023/12/10 00:05,2023/12/10 00:05
147,落井下石,落井下石,luò jǐng xià shí,人の窮状や弱みにつけ込んで更に痛めつけること,投井下石・下井投石,投井下石・下井投石, - ,jujuyouyisi,1,2023/12/10 00:08,2023/12/10 00:38
148,双管齐下,雙管齊下,shuāng guǎn qí xià,物事を両面から推し進めること、同時並行で物事を進めること, - , - , - ,jujuyouyisi,1,2023/12/10 00:11,2023/12/10 00:11
